Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
3	4.458027	1.610238	96.51154	96910.85	0	0	2.854533333	404.4138963
3	5.096653	2.363587	79.01831	96947.41	0	0	2.862633333	404.0183052
3	4.974454	3.265209	74.99347	96967.32	0	0	2.842366667	404.2541698
3	3.732086	1.56165	84.84875	96978.61	0	0	2.841166667	405.5987949
3	3.391953	1.539272	87.53793	97008.26	0	0	2.831333333	406.2365971
3	2.739519	0.7040231	88.24402	97022.92	0	0	2.809433333	406.8018648
3	2.486616	0.3792991	90.39125	97053.44	0	0	2.7911	407.150124
3	1.995326	0.4617876	93.26067	97063.38	0	0	2.776466667	408.0880526
3	1.19423	0.7366684	97.74709	97080.51	0	0	2.7503	409.8800995
3	0.7750845	0.5958592	100	97109.41	0	0	2.732066667	410.333976
3	0.9132294	0.6519858	97.43722	97121.63	34.93	71.8	2.7006	409.1835553
3	0.479002	1.19914	100	97153.25	89.4	202.2	2.6832	410.9818902
3	1.04638	0.6337096	97.48896	97186.09	150.2	337.9	2.662466667	408.2301843
3	1.688824	0.5057963	93.37437	97207.59	246.7	473.2	2.651366667	407.0680002
3	3.057078	0.3471567	85.70225	97206.18	301.9	576.8	2.6379	402.8499133
3	3.80794	1.193321	77.44038	97182.17	336.4	674.8	2.634133333	399.3075563
3	3.627206	2.417277	75.51396	97170.52	355.4	750	2.633733333	398.8434132
3	4.326474	1.718353	68.7171	97164.3	404.8	860	2.637733333	398.3508308
3	4.092669	2.86036	69.8436	97161.42	396.6	847	2.656	398.1822454
3	3.460472	2.949206	71.52374	97180.81	144.4	326.3	2.677	398.4846932
3	3.567964	2.371553	69.8824	97178.31	139.4	311.4	2.716333333	398.3315787
3	3.882401	2.371104	67.74561	97167.43	190.3	420.2	2.737833333	398.2381536
3	4.223939	2.759732	65.83669	97179.5	164.2	358.6	2.759133333	398.1328309
3	4.43131	2.74588	64.87034	97181.34	83.1	185.7	2.778866667	398.2128458
3	4.364928	1.971929	66.77097	97182.27	49.27	123.7	2.7944	398.3374362
3	4.252503	2.982415	68.0649	97191.76	30.5	76.1	2.7977	398.2733494
3	4.206578	1.374807	68.12593	97194.42	9.57	31.93	2.794233333	398.9327074
3	3.890013	2.064324	72.73555	97213.07	0	0	2.7867	399.3067818
3	3.769032	2.984599	72.69167	97242.8	0	0	2.7877	400.3431635
3	3.309222	0.7474946	73.62939	97277.48	0	0	2.777	400.7950564
3	2.425818	0.2526331	82.24731	97305.58	0	0	2.7653	402.0498788
3	1.982087	0.919618	87.95275	97353.71	0	0	2.7504	403.1823645
3	2.014785	1.430777	85.41138	97349.82	0	0	2.7506	403.4330319
3	1.334571	0.5661324	89.818	97353.24	0	0	2.741066667	404.9102734
3	0.4507879	0.6466163	94.40684	97374.67	0	0	2.727866667	405.441837
3	0.5013792	0.6561137	96.31477	97416	0	0	2.701966667	405.9847577
3	-0.0690873	0.8368118	96.04462	97437.71	0	0	2.674766667	407.1372708
3	-0.5570235	0.5965753	99.79743	97453.16	0	0	2.651866667	407.3277718
3	-0.898568	1.027425	98.60685	97476.33	0	0	2.624333333	408.999629
3	-1.40277	0.4731856	100	97512.03	0	0	2.599466667	410.8106454
3	-1.605047	0.8943501	100	97514.57	0	0	2.577566667	409.511303
4	-1.740847	0.6032478	100	97548.44	0	0	2.5652	408.4953894
4	-1.544488	0.6034312	100	97573.03	0	0	2.559366667	408.382605
4	-1.557471	0.5958996	100	97562.92	0	0	2.547033333	408.2452535
4	-1.748149	0.477622	100	97573.27	0	0	2.5363	408.7437896
4	-1.8869	0.8009428	100	97584.12	0	0	2.531333333	409.6067403
