Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     37     2877.9021      1377.9020         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0030         0.0488         0.3994         1.0000       -54.2453       -66.4524       130.5402        -9.8427       628.0041       661.9535         0.0451       179.6533         0.0015        20.6398        21.0011        19.4912         0.3594         0.4000         0.0002
      1     38     2877.8586      1377.8585         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0031         0.0415         0.3994         1.0000       -32.5030       -56.5982        93.1032        -4.0024       577.6761       615.6068         0.0270       168.6355         0.0015        19.8071        20.0222        19.1457         0.3586         0.4000         0.0002
      1     39     2877.8254      1377.8254         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0031         0.0312         0.3994         1.0000        -5.6597       -42.6293        42.2180         6.0726       507.1552       527.0247         0.0192       107.6797         0.0015        18.2897        18.3394        18.5479         0.3580         0.4000         0.0002
      1     40     2877.7998      1377.7997         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0032         0.0239         0.3994         1.0000        29.5459       -32.6585        -9.3374        12.4499       437.4941       438.5257         0.0105        45.9597         0.0015        17.2527        16.8939        17.8510         0.3575         0.4000         0.0002
      1     41     2877.7800      1377.7799         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0032         0.0180         0.3994         1.0000        43.2786       -24.6632       -36.6067        17.9912       396.6078       397.8149         0.0054        12.7328         0.0015        16.2423        15.4597        17.0863         0.3571         0.4000         0.0000
      1     42     2877.7622      1377.7621         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0032         0.0160         0.3994         1.0000        53.5465       -21.9436       -49.7289        18.1243       376.4164       377.7597         0.0051        -3.2818         0.0015        15.0985        14.6764        16.4248         0.3568         0.4000            NaN
      1     43     2877.7456      1377.7455         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0032         0.0149         0.3994         1.0000        52.3625       -20.3693       -49.4842        17.4900       373.2215       374.5333         0.0050        -3.5479         0.0015        14.5107        14.0985        15.8635         0.3565         0.4000            NaN
      1     44     2877.7314      1377.7313         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0033         0.0123         0.3993         1.0000        46.8414       -16.8799       -49.4938        19.5342       368.2215       369.6724         0.0051        -4.1684         0.0015        13.5705        13.2645        15.2993         0.3562         0.4000            NaN
      1     45     2877.7188      1377.7188         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0033         0.0108         0.3993         1.0000        44.3153       -14.8418       -48.9984        19.5246       365.4576       366.9490         0.0049        -4.0471         0.0015        13.0494        12.7009        14.7989         0.3560         0.4000            NaN
      1     46     2877.7070      1377.7070         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0033         0.0099         0.3993         1.0000        43.3975       -13.5963       -49.0847        19.2860       362.5849       364.0961         0.0049        -4.5445         0.0015        12.5061        12.2317        14.3581         0.3558         0.4000            NaN
      1     47     2877.6970      1377.6969         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0033         0.0083         0.3993         1.0000        38.9719       -11.4040       -48.5690        21.0024       359.2596       360.8234         0.0049        -4.4749         0.0015        11.8714        11.5619        13.9068         0.3557         0.4000            NaN
      1     48     2877.6882      1377.6882         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0033         0.0070         0.3993         1.0000        34.5264        -9.5644       -46.8519        21.8898       357.9554       359.5022         0.0047        -2.9705         0.0015        11.6239        10.9920        13.4751         0.3555         0.4000            NaN
